epic, Kp, cdpp_sap, cdpp_pdc, cdpp_k2sc_pdc, cdpp_halo, cdpp_k2sc_halo, enclosed_weight
212426921, 11.859000, 2368.900507, 80.802458, 31.374737, 75.439928, 48.990105, 0.187994
212687303, 11.997000, 1182.122718, 161.279883, 135.696498, 152.561965, 140.791596, 0.095285
212764046, 11.540000, 7952.312435, 507.081937, 96.884891, 78.090738, 63.625420, 0.100947
212341843, 11.285000, 4153.961607, 42.493929, 23.453741, 36.687846, 28.808062, 0.157032
212362181, 11.030000, 5209.878082, 69.221303, 32.549869, 38.201035, 31.455823, 0.210070
212660876, 11.699000, 799.067389, 39.158310, 25.125748, 35.483601, 35.417156, 0.205204
212716270, 11.756000, 1395.712143, 82.799885, 46.523737, 53.002578, 43.398563, 0.230536
212569484, 11.047000, 781.849484, 31.273483, 19.798368, 28.314202, 22.746429, 0.203288
212276968, 11.948000, 7966.867816, 107.910561, 36.829416, 451.036134, 189.829050, 0.590986
212729316, 11.737000, 3080.673885, 427.260999, 428.293903, 418.819135, 412.446193, 0.181962
212803289, 11.014000, 2451.284259, 95.835667, 35.535383, 58.452495, 42.732909, 0.201439
212623192, 11.581000, 2211.845590, 66.225803, 25.531419, 59.391818, 34.820108, 0.151330
212412006, 11.298000, 2587.451141, 222.840395, 222.483231, 237.277284, 223.539617, 0.195351
212486823, 11.430000, 264.930645, 133.684175, 131.906858, 133.998963, 130.018880, 0.233198
212758936, 11.531000, 3336.543119, 200.291153, 168.492080, 197.265361, 180.563853, 0.132951
212799042, 11.655000, 1122.447044, 58.372262, 26.723569, 94.116784, 49.902330, 0.147535
212662701, 11.866000, 496.895751, 63.780968, 28.043359, 37.166901, 29.451574, 0.273762
212810030, 11.471000, 408.887132, 108.546230, 31.539183, 119.093803, 51.770249, 0.165445
212765813, 11.723000, 3458.302842, 74.732520, 35.215389, 58.881365, 43.915481, 0.178112
212720456, 11.966000, 2677.885110, 376.316280, 351.540319, 364.002026, 350.930317, 0.122683
212591347, 11.854000, 173.422475, 104.233991, 104.323048, 110.111415, 109.152451, 0.342240
212767937, 11.871000, 1143.542755, 206.027149, 76.804843, 117.526420, 108.638450, 0.102165
212787894, 11.280000, 400.402890, 86.387963, 61.897106, 76.286332, 66.773262, 0.525498
212648328, 11.690000, 1852.474148, 79.962534, 29.104920, 56.416221, 37.192698, 0.143432
212296215, 11.620000, 3027.340576, 413.333914, 407.800847, 408.430289, 412.549531, 0.164673
212806932, 11.354000, 1344.389955, 289.258975, 90.944708, 134.994748, 111.091664, 0.159183
212459188, 11.436000, 675.691382, 60.043907, 33.213432, 69.214204, 52.260375, 0.126501
212357743, 11.479000, 3906.749625, 899.259045, 818.957936, 843.904951, 851.939918, 0.161542
212591166, 11.951000, 2929.270036, 2545.371795, 2543.680962, 2491.368706, 2519.373587, 0.339199
212464736, 11.950000, 3088.886748, 205.139364, 61.337768, 83.834990, 47.941267, 0.161878
212665824, 11.900000, 484.400108, 45.916420, 24.606669, 45.477320, 32.032787, 0.175982
212426710, 11.767000, 1379.326088, 348.635375, 343.688783, 353.552941, 352.557994, 0.191788
212577757, 11.775000, 60.523676, 59.176260, 43.064838, 23.668841, 21.749487, 0.518123
212326767, 11.975000, 4603.976223, 92.297236, 35.932378, 79.737254, 71.126371, 0.155783
212476848, 11.631000, 2462.007097, 50.907386, 26.444838, 48.809503, 37.991359, 0.200158
212528407, 11.526000, 357.801937, 34.541096, 29.960645, 32.577716, 30.913873, 0.252585
212321333, 11.024000, 24482.929439, 21699.850181, 21712.989390, 20191.414365, 19372.739442, 0.451685
212592385, 11.651000, 1528.770662, 91.418553, 60.332264, 119.587395, 80.319641, 0.128013
212435612, 11.381000, 614.146190, 256.696445, 195.633969, 200.236598, 194.355343, 0.282254
212271587, 11.082000, 8965.026895, 151.132925, 81.021413, 160.036173, 89.702815, 0.157344
212708691, 11.200000, 373.570689, 374.017212, 212.574610, 227.949861, 216.197213, 0.526863
212415899, 11.865000, 1183.030797, 214.009858, 100.246026, 102.990537, 100.244921, 0.202436
212695801, 11.924000, 4263.330234, 132.430211, 47.522954, 113.639208, 64.504392, 0.146877
212779249, 11.092000, 2713.896952, 458.201432, 398.925686, 413.856588, 400.309023, 0.138900
212340408, 11.874000, 4842.968851, 470.079069, 300.330710, 290.983084, 283.868280, 0.175602
212369824, 11.276000, 5276.246420, 68.525627, 31.313688, 40.307171, 36.115643, 0.173151
212717566, 11.771000, 2399.768543, 93.756955, 38.149075, 60.775699, 34.069697, 0.119115
212504473, 11.622000, 6370.067299, 87.147062, 32.912881, 43.075136, 43.097945, 0.180264
212644231, 11.710000, 9456.651618, 151.486163, 71.771034, 62.693282, 46.452038, 0.131820
